"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Projects","0","","2","0","Get project","0"
"0","Projects","0","","22","0","Update project","0"
"0","Authorization","0","","19","1","","0"
"0","Tasks","0","","3","0","Create task","0"
"0","Tasks","0","","2","0","Get task","0"
"0","Projects","0","","2","0","Delete project","0"
"0","Tasks","0","","2","0","Close task","0"
"0","Projects","0","","4","1","Create project","0"
"0","Tasks","0","","4","0","Update task","0"
"0","Tasks","0","","3","0","Reopen task","0"
"0","Tasks","0","","1","0","Delete task","0"
