"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Task priority can be updated within a specific range of numbers","320","[Task] Update. Priority. Invalid values.","tests.tasks","2026-09-05","passed","2026-09-05","","test_update_task","",""
"Project can not be created with unauthorized request.","107","[Project][Unauthorized] Create.","tests.projects","2026-09-05","passed","2026-09-05","","test_create_project","",""
"Task can not be retrieved with invalid token used.","137","[Task][Invalid token] Get.","tests.tasks","2026-09-05","passed","2026-09-05","","test_get_task","",""
"Project color can be updated within a specific range of colors","280","[Project] Update. Available color.","tests.projects","2026-09-05","passed","2026-09-05","","test_update_project","",""
"Project color can be updated within a specific range of colors","239","[Project] Update. Available color.","tests.projects","2026-09-05","passed","2026-09-05","","test_update_project","",""
"Deleting not existing project should result in getting error message","104","[Project] Delete. Not existing project.","tests.projects","2026-09-05","passed","2026-09-05","","test_delete_project","",""
"Task can not be retrieved with unauthorized request.","0","[Task][Unauthorized] Get.","tests.tasks","2026-09-05","skipped","2026-09-05","","test_get_task","",""
"Project can not be retrieved with unauthorized request.","103","[Project][Unauthorized] Get.","tests.projects","2026-09-05","passed","2026-09-05","","test_get_project","",""
"Task can not be closed with unauthorized request.","110","[Task][Unauthorized] Close.","tests.tasks","2026-09-05","passed","2026-09-05","","test_close_task","",""
"Project can be created with 1 required field: project name","677","[Project] Create. Required field only.","tests.projects","2026-09-05","passed","2026-09-05","","test_create_project","",""
"Project color can be updated within a specific range of colors","249","[Project] Update. Available color.","tests.projects","2026-09-05","passed","2026-09-05","","test_update_project","",""
"Task priority can be updated within a specific range of numbers","274","[Task] Update. Priority. Invalid values.","tests.tasks","2026-09-05","passed","2026-09-05","","test_update_task","",""
"Project color can be updated within a specific range of colors","232","[Project] Update. Available color.","tests.projects","2026-09-05","passed","2026-09-05","","test_update_project","",""
"Task priority can be updated within a specific range of numbers","298","[Task] Update. Priority. Invalid values.","tests.tasks","2026-09-05","passed","2026-09-05","","test_update_task","",""
"Reopening not closed task is correctly handled","298","[Task] Reopen. Not closed task.","tests.tasks","2026-09-05","passed","2026-09-05","","test_reopen_task","",""
"Project can not be retrieved with invalid token used.","183","[Project][Invalid token] Get.","tests.projects","2026-09-05","passed","2026-09-05","","test_get_project","",""
"Task can be created with 1 required field: task content","580","[Task] Create. Required field only.","tests.tasks","2026-09-05","passed","2026-09-05","","test_create_task","",""
"Project color can be updated within a specific range of colors","246","[Project] Update. Available color.","tests.projects","2026-09-05","passed","2026-09-05","","test_update_project","",""
"Project color can be updated within a specific range of colors","235","[Project] Update. Available color.","tests.projects","2026-09-05","passed","2026-09-05","","test_update_project","",""
"Project color can not be updated with unavailable color","131","[Project] Update. Unavailable color.","tests.projects","2026-09-05","passed","2026-09-05","","test_update_project","",""
"Project color can be updated within a specific range of colors","227","[Project] Update. Available color.","tests.projects","2026-09-05","passed","2026-09-05","","test_update_project","",""
"Task can not be created without required field","103","[Task] Create. Required field missed.","tests.tasks","2026-09-05","passed","2026-09-05","","test_create_task","",""
"Task reopening also reopens its ancestor","2359","[Task] Reopen. Task with an ancestor.","tests.tasks","2026-09-05","passed","2026-09-05","","test_reopen_task","",""
"Project color can be updated within a specific range of colors","258","[Project] Update. Available color.","tests.projects","2026-09-05","passed","2026-09-05","","test_update_project","",""
"Project can not be created with invalid required field values: """", "" ""","140","[Project] Create. Required field invalid value.","tests.projects","2026-09-05","passed","2026-09-05","","test_create_project","",""
"Project can be created with several fields at once","373","[Project] Create. All the fields.","tests.projects","2026-09-05","passed","2026-09-05","","test_create_project","",""
"Task can not be deleted with unauthorized request.","107","[Task][Unauthorized] Delete.","tests.tasks","2026-09-05","passed","2026-09-05","","test_delete_task","",""
"Existing task can be deleted","663","[Task] Delete. Existing task.","tests.tasks","2026-09-05","passed","2026-09-05","","test_delete_task","",""
"Project color can be updated within a specific range of colors","241","[Project] Update. Available color.","tests.projects","2026-09-05","passed","2026-09-05","","test_update_project","",""
"Task can not be updated with invalid token used.","141","[Task][Invalid token] Update.","tests.tasks","2026-09-05","passed","2026-09-05","","test_update_task","",""
"Project color can be updated within a specific range of colors","256","[Project] Update. Available color.","tests.projects","2026-09-05","passed","2026-09-05","","test_update_project","",""
"Project color can be updated within a specific range of colors","232","[Project] Update. Available color.","tests.projects","2026-09-05","passed","2026-09-05","","test_update_project","",""
"Project fields can be updated","310","[Project] Update. Existing project.","tests.projects","2026-09-05","passed","2026-09-05","","test_update_project","",""
"Project color can be updated within a specific range of colors","285","[Project] Update. Available color.","tests.projects","2026-09-05","passed","2026-09-05","","test_update_project","",""
"Project color can be updated within a specific range of colors","270","[Project] Update. Available color.","tests.projects","2026-09-05","passed","2026-09-05","","test_update_project","",""
"Project can not be created with invalid token used.","144","[Project][Invalid token] Create.","tests.projects","2026-09-05","passed","2026-09-05","","test_create_project","",""
"List of all the active tasks should be accessible","524","[Task] Get. Full list of active tasks.","tests.tasks","2026-09-05","passed","2026-09-05","","test_get_task","",""
"List of all the projects should be accessible","167","[Project] Get. Full list of projects.","tests.projects","2026-09-05","passed","2026-09-05","","test_get_project","",""
"Task can not be reopened with unauthorized request.","512","[Task][Unauthorized] Reopen.","tests.tasks","2026-09-05","passed","2026-09-05","","test_reopen_task","",""
"Task can not be reopened with invalid token used.","668","[Task][Invalid token] Reopen.","tests.tasks","2026-09-05","passed","2026-09-05","","test_reopen_task","",""
"Project color can be updated within a specific range of colors","236","[Project] Update. Available color.","tests.projects","2026-09-05","passed","2026-09-05","","test_update_project","",""
"Project color can be updated within a specific range of colors","333","[Project] Update. Available color.","tests.projects","2026-09-05","passed","2026-09-05","","test_update_project","",""
"Task can not be closed with invalid token used.","354","[Task][Invalid token] Close.","tests.tasks","2026-09-05","passed","2026-09-05","","test_close_task","",""
"Project can not be updated with invalid token used.","265","[Project][Invalid token] Update.","tests.projects","2026-09-05","passed","2026-09-05","","test_update_project","",""
"Project can not be created with invalid required field values: """", "" ""","0","[Project] Create. Required field invalid value.","tests.projects","2026-09-05","skipped","2026-09-05","","test_create_project","",""
"Task can not be created with unauthorized request.","105","[Task][Unauthorized] Create.","tests.tasks","2026-09-05","passed","2026-09-05","","test_create_task","",""
"Task can not be deleted with invalid token used.","160","[Task][Invalid token] Delete.","tests.tasks","2026-09-05","passed","2026-09-05","","test_delete_task","",""
